ID,date_time,PlotID,SampleID,Location,Cohort1,Time,Plot,Rep,Stype,Svariety1,Bacteria,Weight,Wash_Vol,V1,CFU1,V2,CFU2,V3,CFU3,Enrich1,Presence1
102,7/16/2018 17:00,NY-C1-S1,NY-C1-8-S1-R2,NY,1,8,1,2,Spinach,Old,Sal,49.4,197.6,10,3,1,0,0.1,0,N,
103,7/16/2018 17:00,NY-C1-S1,NY-C1-8-S1-R3,NY,1,8,1,3,Spinach,Old,Sal,62.1,248.4,10,34,1,2,0.1,0,N,
104,7/16/2018 17:00,NY-C1-S1,NY-C1-8-S1-R4,NY,1,8,1,4,Spinach,Old,Sal,39.1,156.2,10,21,1,0,0.1,0,N,
105,7/16/2018 17:00,NY-C1-S1,NY-C1-8-S1-R5,NY,1,8,1,5,Spinach,Old,Sal,43.6,174.3,10,39,1,1,0.1,2,N,
106,7/16/2018 17:00,NY-C1-S2,NY-C1-8-S2-R1,NY,1,8,2,1,Spinach,Old,Sal,46.2,184.8,10,12,1,1,0.1,0,N,
107,7/16/2018 17:00,NY-C1-S2,NY-C1-8-S2-R2,NY,1,8,2,2,Spinach,Old,Sal,28.6,114.3,10,28,1,2,0.1,0,N,
108,7/16/2018 17:00,NY-C1-S2,NY-C1-8-S2-R3,NY,1,8,2,3,Spinach,Old,Sal,36.9,147.5,10,14,1,2,0.1,0,N,
109,7/16/2018 17:00,NY-C1-S2,NY-C1-8-S2-R4,NY,1,8,2,4,Spinach,Old,Sal,40.2,160.9,10,2,1,1,0.1,0,N,
110,7/16/2018 17:00,NY-C1-S2,NY-C1-8-S2-R5,NY,1,8,2,5,Spinach,Old,Sal,34.1,136.3,10,8,1,0,0.1,0,N,
111,7/16/2018 17:00,NY-C1-S3,NY-C1-8-S3-R1,NY,1,8,3,1,Spinach,New,Sal,28.7,114.8,10,0,1,0,0.1,0,Y,P
112,7/16/2018 17:00,NY-C1-S3,NY-C1-8-S3-R2,NY,1,8,3,2,Spinach,New,Sal,17.1,68.2,10,1,1,0,0.1,0,N,
113,7/16/2018 17:00,NY-C1-S3,NY-C1-8-S3-R3,NY,1,8,3,3,Spinach,New,Sal,34.1,136.7,10,0,1,0,0.1,0,Y,P
114,7/16/2018 17:00,NY-C1-S3,NY-C1-8-S3-R4,NY,1,8,3,4,Spinach,New,Sal,35.3,141.2,10,13,1,0,0.1,0,N,
115,7/16/2018 17:00,NY-C1-S3,NY-C1-8-S3-R5,NY,1,8,3,5,Spinach,New,Sal,18.9,75.5,10,68,1,0,0.1,6,N,
116,7/16/2018 17:00,NY-C1-S4,NY-C1-8-S4-R1,NY,1,8,4,1,Spinach,New,Sal,27.2,108.8,10,38,1,0,0.1,1,N,
117,7/16/2018 17:00,NY-C1-S4,NY-C1-8-S4-R2,NY,1,8,4,2,Spinach,New,Sal,26.2,104.8,10,11,1,0,0.1,0,N,
118,7/16/2018 17:00,NY-C1-S4,NY-C1-8-S4-R3,NY,1,8,4,3,Spinach,New,Sal,32.2,128.8,10,8,1,0,0.1,0,N,
119,7/16/2018 17:00,NY-C1-S4,NY-C1-8-S4-R4,NY,1,8,4,4,Spinach,New,Sal,35.8,143.2,10,21,1,0,0.1,0,N,
120,7/16/2018 17:00,NY-C1-S4,NY-C1-8-S4-R5,NY,1,8,4,5,Spinach,New,Sal,34.4,137.6,10,2,1,0,0.1,0,N,
